driver_id,trip_id,start_ts,end_ts,miles,night_miles,mean_speed,max_speed_over_limit,accel_events_per_100mi,brake_events_per_100mi,phone_use_ratio,rain_flag,incident_density,label
D 102,T000000,2025-07-24T04:48:54.871257,2025-07-24T05:22:54.871257,2.14,0.2,37.1,0.0,9.2,10.7,0.222,0,0.294,0
D 014,T000001,2025-07-29T03:11:54.871257,2025-07-29T03:39:54.871257,1.14,0.26,29.2,8.8,5.0,21.1,0.197,0,0.147,0
D 105,T000002,2025-09-10T07:26:54.871257,2025-09-10T07:51:54.871257,6.18,1.41,43.5,6.0,8.1,11.6,0.326,0,0.484,0
D 062,T000003,2025-09-03T09:16:54.871257,2025-09-03T09:27:54.871257,5.39,0.84,26.8,2.3,14.1,17.4,0.029,0,0.494,1
D 141,T000004,2025-08-06T05:54:54.871257,2025-08-06T05:59:54.871257,5.1,0.05,31.6,8.4,8.1,18.9,0.107,0,0.315,0
D 027,T000005,2025-07-31T20:25:54.871257,2025-07-31T21:06:54.871257,3.39,0.44,31.9,1.3,9.5,11.6,0.157,1,0.691,0
D 095,T000006,2025-08-20T22:12:54.871257,2025-08-20T22:32:54.871257,2.92,1.07,33.5,4.7,14.2,1.4,0.111,0,0.357,0
D 037,T000007,2025-08-21T04:25:54.871257,2025-08-21T04:52:54.871257,3.64,0.42,30.7,8.1,12.4,13.6,0.092,0,0.496,0
D 177,T000008,2025-08-21T19:10:54.871257,2025-08-21T19:33:54.871257,4.42,0.4,54.3,4.2,11.9,17.8,0.069,1,0.669,1
D 127,T000009,2025-07-30T13:31:54.871257,2025-07-30T13:50:54.871257,1.87,0.0,33.8,8.2,12.8,13.8,0.455,0,0.1,0
D 096,T000010,2025-08-17T04:30:54.871257,2025-08-17T05:08:54.871257,1.16,0.2,32.9,1.8,11.6,9.3,0.279,0,0.097,0
D 057,T000011,2025-09-11T07:43:54.871257,2025-09-11T07:56:54.871257,3.67,0.06,36.9,6.0,3.2,18.3,0.284,0,0.503,0
D 064,T000012,2025-09-06T10:37:54.871257,2025-09-06T10:58:54.871257,2.96,0.01,50.0,0.0,5.7,10.9,0.283,0,0.485,0
D 115,T000013,2025-08-15T18:22:54.871257,2025-08-15T18:56:54.871257,1.92,0.4,33.1,0.8,3.7,15.0,0.402,0,0.336,0
D 116,T000014,2025-09-12T21:33:54.871257,2025-09-12T22:26:54.871257,3.67,0.36,29.3,1.4,3.9,8.3,0.077,0,0.52,0
D 099,T000015,2025-08-10T23:05:54.871257,2025-08-10T23:34:54.871257,6.94,0.51,37.7,1.9,8.3,10.7,0.254,0,0.822,0
D 043,T000016,2025-08-16T12:32:54.871257,2025-08-16T12:58:54.871257,2.25,0.25,24.8,14.2,1.8,5.1,0.373,1,0.69,0
D 100,T000017,2025-09-05T03:49:54.871257,2025-09-05T03:55:54.871257,1.35,0.35,40.6,7.8,8.1,15.6,0.077,1,0.665,0
D 082,T000018,2025-07-17T19:58:54.871257,2025-07-17T20:39:54.871257,9.51,2.07,36.0,5.1,8.5,10.5,0.089,0,0.409,0
D 135,T000019,2025-07-27T20:00:54.871257,2025-07-27T20:41:54.871257,2.35,0.73,44.9,4.5,15.4,8.2,0.134,0,0.235,0
D 055,T000020,2025-08-12T03:35:54.871257,2025-08-12T04:07:54.871257,6.67,1.07,33.2,2.1,9.4,5.8,0.047,0,0.371,1
D 116,T000021,2025-09-06T00:03:54.871257,2025-09-06T00:29:54.871257,1.21,0.12,36.7,17.5,10.9,15.8,0.158,0,0.636,0
D 176,T000022,2025-09-03T04:56:54.871257,2025-09-03T05:16:54.871257,6.92,0.72,36.7,17.9,8.8,14.8,0.203,0,0.23,1
D 192,T000023,2025-07-27T11:01:54.871257,2025-07-27T11:10:54.871257,6.41,0.38,34.9,3.7,13.8,8.5,0.178,1,0.776,0
D 190,T000024,2025-08-10T20:57:54.871257,2025-08-10T21:42:54.871257,0.64,0.01,41.7,6.6,10.3,13.5,0.026,0,0.0,0
D 117,T000025,2025-08-29T04:09:54.871257,2025-08-29T04:30:54.871257,1.54,0.72,27.5,0.6,7.5,3.8,0.141,1,0.703,1
D 093,T000026,2025-08-02T05:18:54.871257,2025-08-02T05:48:54.871257,3.27,0.49,27.8,1.7,8.6,12.4,0.09,1,0.78,0
D 016,T000027,2025-08-06T17:43:54.871257,2025-08-06T18:17:54.871257,1.91,0.15,33.9,13.4,19.9,16.1,0.07,0,0.585,1
D 108,T000028,2025-09-07T19:48:54.871257,2025-09-07T20:11:54.871257,2.76,0.07,30.7,3.1,3.8,12.3,0.163,0,0.551,0
D 178,T000029,2025-07-30T21:05:54.871257,2025-07-30T21:42:54.871257,1.73,0.09,32.3,3.6,7.0,12.9,0.02,0,0.525,1
D 062,T000030,2025-08-08T13:40:54.871257,2025-08-08T14:14:54.871257,6.94,0.26,32.4,3.7,8.4,10.5,0.137,0,0.423,0
D 122,T000031,2025-08-30T19:15:54.871257,2025-08-30T19:39:54.871257,2.69,0.21,38.4,4.4,0.0,19.1,0.018,1,0.648,0
D 066,T000032,2025-09-06T23:06:54.871257,2025-09-06T23:23:54.871257,2.48,0.35,30.3,0.0,15.5,12.4,0.092,0,0.346,0
D 004,T000033,2025-08-16T18:22:54.871257,2025-08-16T19:06:54.871257,2.36,0.11,38.1,0.0,4.6,14.9,0.029,1,0.413,1
D 050,T000034,2025-08-15T21:09:54.871257,2025-08-15T21:52:54.871257,2.6,0.05,24.1,0.0,0.1,18.5,0.066,1,0.81,0
